Ticker,Name,Inception_Date,Index_Fund,Global_Category,#_of_Stock_Holdings,Total_Market_Value,Average_Market Cap_(mil),P_B_Ratio_(TTM),P_C_Ratio_(TTM),P_E_Ratio_(TTM),P_S_Ratio_(TTM),Debt_to_Capital_%_(trailing),Net_Margin_%_(trailing),ROA_%_(TTM),ROE_%_(TTM),P_FCF_Ratio_(TTM),ROIC_(TTM),Equity_Style_Factor_P_E,Equity_Style_Factor_P_B,Equity_Style_Factor_P_S,Equity_Style_Factor_P_C,Equity_Style_Factor_Div_Yld,Equity_Style_Factor_LT_Earn_Growth,Equity_Style_Factor_Hist_Earn_Growth,Equity_Style_Factor_BV_Growth,Equity_Style_Factor_Sales_Growth,Equity_Style_Factor_CF_Growth
TEVIX,TIAA-CREF Enh Lg Cp Val Idx Inst,11/30/2007,No,US Equity Large Cap Value,401.00,560841579.00,28542.57,1.49,6.10,15.15,0.88,39.61,5.10,2.32,6.65,13.45,7.59,12.93,1.44,0.65,3.87,3.13,7.59,-6.45,-1.02,6.60,12.62
TFEQX,Templeton Instl Intl Eq Ser Primary,10/18/1990,No,Global Equity Large Cap,106.00,6107435940.00,36854.97,1.56,5.44,14.73,0.83,37.42,9.61,4.28,11.38,,9.90,12.78,1.27,0.65,3.58,4.68,6.27,-3.22,2.93,5.37,0.22
TFFYX,Touchstone Focused Y,2/12/1999,No,US Equity Large Cap Blend,29.00,619318891.00,66823.13,1.91,8.55,16.25,1.17,31.12,7.26,6.48,11.81,15.16,14.62,12.75,2.12,1.00,3.74,2.56,8.92,9.87,1.19,10.27,16.27
TFIIX,TIAA-CREF Enh Intl Eq Idx Inst,11/30/2007,No,Global Equity Large Cap,416.00,398182159.00,29821.81,1.48,4.93,13.28,0.78,37.44,10.04,4.66,13.22,6.50,15.32,13.53,1.25,0.57,3.08,5.14,7.12,-1.62,-3.39,-3.38,-10.74
TFSCX,Templeton Ins Foreign Smaller Co Ser Adv,10/21/2002,No,Global Equity Mid/Small Cap,91.00,124395755.00,1288.69,1.58,7.45,12.88,0.61,,6.32,5.26,12.51,,11.88,13.14,1.40,0.47,4.01,3.40,8.94,2.22,-13.03,-11.05,-17.01
TFSSX,TFS Small Cap,3/7/2006,No,US Equity Small Cap,,,,,,,,,,,,,,,,,,,,,,,
TGCEX,TCW Select Equities I,2/26/1993,No,US Equity Large Cap Growth,32.00,525927081.00,26452.97,3.86,15.75,25.43,2.31,16.88,14.43,10.83,20.77,21.55,18.69,21.08,3.39,1.85,13.25,1.22,13.58,14.66,17.38,15.64,20.15
TGDVX,TCW Relative Value Large Cap N,12/31/1997,No,US Equity Large Cap Value,50.00,561391800.00,24077.75,1.66,6.91,15.83,0.88,38.70,2.05,0.12,6.64,14.35,5.29,14.06,1.70,0.65,5.48,2.81,7.43,5.27,-8.97,5.61,7.76
TGESX,Templeton Inst Global Equity Series Adv,3/31/2008,No,Global Equity,112.00,172792362.00,36596.13,1.75,6.91,14.03,1.04,32.04,10.78,6.29,15.38,13.37,11.80,12.02,1.43,0.79,5.27,3.54,9.61,-8.35,-19.10,-19.91,-41.97
TGFRX,Tanaka Growth,12/30/1998,No,US Equity Large Cap Growth,,,,,,,,,,,,,,,,,,,,,,,
TGFVX,TCW Focused Equities N,2/28/2001,No,US Equity Large Cap Blend,36.00,63913177.00,33553.35,2.08,10.98,18.56,1.53,30.27,7.92,5.43,14.41,19.66,11.49,14.91,1.99,1.29,8.05,1.66,13.50,8.84,4.58,10.08,12.21
TGIGX,TCW Relative Value Dividend Apprec N,9/19/1986,No,US Equity Large Cap Value,59.00,633936579.00,22085.48,1.74,7.04,15.87,1.01,40.50,5.55,2.02,8.88,14.00,6.80,13.48,1.85,0.74,5.89,4.40,7.08,1.72,-6.39,5.05,0.58
TGLDX,Tocqueville Gold,6/29/1998,No,Precious Metals Sector Equity,46.00,1039958029.00,3195.70,3.55,23.62,40.78,10.58,8.82,22.87,-4.59,0.91,-65.79,-20.05,27.86,2.91,2.63,1.59,0.17,16.39,2.02,11.51,25.07,50.03
TGRBX,Invesco Pacific Growth B,11/30/1990,No,Asia Equity,187.00,130929637.00,11794.30,1.43,6.93,11.10,0.67,27.69,8.32,2.77,6.54,,2.91,17.47,1.22,0.59,4.71,3.74,14.18,0.13,3.40,-7.90,-1.64
TGVAX,Thornburg International Value A,5/28/1998,No,Global Equity Large Cap,66.00,18298019246.00,42260.73,2.31,9.11,19.04,1.75,32.01,14.44,7.71,17.61,,14.76,14.62,1.65,1.18,5.98,4.27,9.44,0.78,2.02,-0.10,-0.67
TGVFX,Touchstone Growth Opportunities A,9/29/1995,No,US Equity Large Cap Growth,52.00,49803872.00,16343.06,2.76,11.47,19.23,2.05,27.18,15.35,7.20,18.64,17.98,12.03,17.32,2.52,1.66,10.34,1.06,12.92,17.69,10.70,14.32,15.59
TGVOX,TCW Relative Value Mid Cap I,10/31/1997,No,US Equity Mid Cap,60.00,259872971.00,4636.03,1.77,8.17,14.83,1.08,35.45,2.30,1.02,3.43,19.18,2.90,16.51,1.43,0.83,5.80,2.93,12.31,-2.40,0.34,5.34,7.61
TGWFX,Transamerica Large Growth R4,9/11/2000,No,US Equity Large Cap Growth,275.00,1341441300.00,34746.71,3.30,11.88,22.59,1.74,27.75,11.28,7.98,18.30,15.30,15.98,17.30,3.29,1.37,9.15,1.82,12.16,5.08,4.02,11.03,10.81
THCGX,Thornburg Core Growth A,12/27/2000,No,US Equity Large Cap Growth,36.00,1655026566.00,10206.96,3.08,11.23,24.03,2.23,33.98,9.79,7.88,17.55,26.50,17.62,17.90,1.68,1.67,8.67,0.37,13.98,-0.70,11.42,17.19,2.65
THDIX,Thornburg Developing World I,12/16/2009,No,Emerging Markets Equity,,,,,,,,,,,,,,,,,,,,,,,
THLCX,Thrivent Large Cap Growth S,10/29/1999,No,US Equity Large Cap Growth,117.00,326165423.00,36629.46,2.70,10.20,22.89,1.50,31.07,10.30,5.81,13.07,15.38,12.30,16.91,2.43,1.12,7.92,1.78,12.26,14.60,3.52,7.52,11.87
THOIX,Thornburg Global Opportunities I,7/28/2006,No,Global Equity,31.00,280285672.00,9052.17,1.35,5.83,17.11,0.86,39.90,4.05,2.88,5.51,,11.72,12.03,1.60,0.79,6.01,6.63,7.90,-16.23,-6.36,-3.11,18.30
THPGX,Thompson LargeCap,2/10/1992,No,US Equity Large Cap Blend,87.00,144752451.00,25316.58,2.17,10.31,18.72,1.11,30.31,7.39,4.90,11.26,18.66,10.19,15.35,2.16,0.89,7.01,2.40,10.89,3.91,0.00,9.35,2.51
THPMX,Thompson MidCap,3/31/2008,No,US Equity Mid Cap,77.00,10381832.00,3688.83,1.87,9.29,17.02,0.92,35.38,3.65,2.38,8.31,23.37,5.24,15.71,1.80,0.77,5.47,2.86,12.12,0.54,-2.89,6.23,-5.85
TIEIX,TIAA-CREF Equity Index Instl,7/1/1999,Yes,US Equity Large Cap Blend,2932.00,1625984919.00,24859.12,2.11,8.68,18.29,1.17,35.52,7.85,4.88,13.06,15.82,11.83,15.00,2.02,0.91,6.02,2.64,9.37,-4.17,-1.42,6.27,9.28
TIEUX,Consulting Group International Equity,11/18/1991,No,Global Equity Large Cap,633.00,771455512.00,26637.58,1.91,5.74,15.39,0.99,34.04,11.92,6.02,13.86,,11.94,13.64,1.55,0.80,5.06,4.03,8.33,-7.22,-8.47,-13.01,-25.37
TIGRX,TIAA-CREF Growth & Income Instl,7/1/1999,No,US Equity Large Cap Growth,158.00,1537550577.00,41842.61,2.23,9.60,18.50,1.30,33.93,8.39,5.67,13.70,16.07,13.12,14.82,2.11,1.07,5.63,2.17,9.80,-6.41,-1.47,6.64,11.08
TIHGX,The Investment House Growth,12/28/2001,No,US Equity Large Cap Growth,47.00,33295073.00,26498.73,3.92,13.11,23.40,2.07,22.64,12.66,9.04,21.30,16.29,16.62,19.22,4.08,1.64,10.78,1.42,13.05,8.03,0.88,12.20,17.17
TIIEX,TIAA-CREF International Eq Instl,7/1/1999,No,Global Equity Large Cap,130.00,2114925953.00,15591.82,2.04,5.33,15.62,0.81,38.64,9.68,5.33,14.16,-31.71,8.92,17.14,1.80,0.67,5.33,2.43,6.87,-1.11,-3.47,-6.82,-12.56
TILCX,T. Rowe Price Instl Large Cap Value,3/31/2000,No,US Equity Large Cap Value,76.00,409815227.00,41129.22,1.74,7.14,17.28,1.08,41.53,3.83,3.80,10.94,12.96,10.86,13.14,1.75,0.68,5.23,3.42,7.59,-4.65,-5.40,6.69,6.12
TILGX,TIAA-CREF Large-Cap Growth Inst,3/31/2006,No,US Equity Large Cap Growth,64.00,779807304.00,37529.11,3.35,14.20,25.76,2.45,25.15,12.94,8.58,18.04,18.02,14.59,19.69,3.19,1.95,5.09,1.60,12.58,9.87,6.25,12.61,20.28
TILIX,TIAA-CREF Large-Cap Gr Idx Instl,10/1/2002,Yes,US Equity Large Cap Growth,624.00,513932226.00,36355.15,3.60,11.57,19.89,1.58,30.85,12.11,8.70,22.21,15.65,17.19,16.26,3.56,1.32,8.50,1.90,11.40,6.36,1.17,10.50,10.54
TILVX,TIAA-CREF Large-Cap Value Idx Inst,10/1/2002,Yes,US Equity Large Cap Value,679.00,543924464.00,30171.43,1.53,6.75,16.83,0.97,40.25,4.43,1.89,5.43,15.62,6.99,13.67,1.45,0.72,4.77,3.38,7.47,-8.76,-1.63,6.03,9.12
TIMVX,TIAA-CREF Mid-Cap Value Instl,10/1/2002,No,US Equity Mid Cap,259.00,1563196983.00,5615.57,1.47,6.12,14.58,0.83,42.09,4.60,1.71,5.25,14.42,5.83,13.71,1.32,0.62,3.86,3.80,9.18,-0.89,-3.78,4.91,5.64
TINGX,Thornburg International Growth I,2/1/2007,No,Global Equity Mid/Small Cap,34.00,78481805.00,7109.06,2.66,9.86,22.70,2.00,,13.60,9.04,18.11,,16.40,16.04,1.80,1.58,8.83,3.02,12.80,-11.59,8.21,-23.61,12.23
TIREX,TIAA-CREF Real Estate Sec Instl,10/1/2002,No,Real Estate Sector Equity,62.00,497047102.00,4890.46,1.75,0.00,33.47,3.22,54.17,8.68,1.00,3.79,,,34.53,1.54,2.46,8.52,6.97,5.70,2.33,2.32,3.92,-3.32
TISBX,TIAA-CREF Small-Cap Blend Idx Inst,10/1/2002,Yes,US Equity Small Cap,2006.00,628144728.00,803.93,1.60,7.13,17.09,0.85,33.30,1.86,-0.69,2.32,18.91,-0.29,16.80,1.46,0.67,4.23,2.61,12.82,-10.17,-5.07,-1.74,3.97
TISCX,TIAA-CREF Social Choice Eq Instl,7/1/1999,No,US Equity Large Cap Blend,899.00,762646280.00,20768.27,2.16,8.25,18.29,1.27,33.95,7.89,4.95,13.43,15.87,11.49,15.31,2.16,0.91,6.36,2.73,8.89,0.79,2.51,7.43,6.50
TISEX,TIAA-CREF Small-Cap Equity Instl,10/1/2002,No,US Equity Small Cap,760.00,714336317.00,844.11,1.66,5.89,14.51,0.69,33.65,2.47,0.63,4.61,10.28,3.14,15.10,1.49,0.49,3.28,2.38,13.07,-8.91,-7.90,-1.41,10.24
TISHX,Deutsche Communications A,1/18/1984,No,Communications Sector Equity,36.00,129347825.00,10993.61,1.33,3.50,7.76,0.79,47.82,2.40,2.33,3.87,5.38,6.91,12.63,1.35,0.76,3.52,2.37,9.43,39.67,-13.58,-1.88,-7.90
TISPX,TIAA-CREF S&P 500 Index Instl,10/1/2002,Yes,US Equity Large Cap Blend,500.00,1159813629.00,43913.40,2.20,9.09,18.56,1.24,35.84,8.55,5.79,14.67,15.38,13.58,14.75,2.11,1.02,6.48,2.70,9.43,-4.98,-1.87,6.93,9.52
TIVFX,Tocqueville International Value,8/1/1994,No,Global Equity Large Cap,58.00,133773108.00,11579.97,1.64,8.42,15.55,0.75,26.03,6.51,4.68,12.07,,9.08,15.16,1.12,0.40,3.96,2.44,5.60,-25.00,1.11,3.20,3.59
TJNIX,Transamerica Growth I2,11/15/2005,No,US Equity Large Cap Growth,67.00,785856682.00,49065.88,3.87,14.44,26.12,2.30,23.12,13.52,9.25,19.80,17.41,15.52,19.05,3.81,1.84,10.43,1.19,13.11,8.76,9.54,8.21,12.52
TLAFX,Transamerica Large Core R4,9/11/2000,No,US Equity Large Cap Value,110.00,280383272.00,40596.24,2.27,8.45,16.41,0.98,30.02,8.63,5.55,13.99,14.02,14.49,12.90,2.26,0.79,6.50,2.32,9.43,2.18,1.26,12.43,11.01
TLGAX,Timothy Plan Large/Mid Cap Growth A,10/5/2000,No,US Equity Large Cap Growth,69.00,42881619.00,8942.75,2.56,10.77,22.23,1.27,26.13,6.78,4.34,11.43,17.26,9.95,16.40,2.21,0.99,4.73,1.16,11.93,7.35,0.10,11.69,18.01
TLGUX,Consulting Group Large Cap Equity,11/18/1991,No,US Equity Large Cap Growth,,,,,,,,,,,,,,,,,,,,,,,
TLIIX,TIAA-CREF Enh Lg Cp Gr Idx Inst,11/30/2007,No,US Equity Large Cap Growth,278.00,571804741.00,36531.40,3.58,10.12,19.03,1.27,31.54,12.00,9.37,23.25,13.13,18.17,15.56,3.64,1.07,6.59,1.80,11.36,7.72,-0.15,11.29,13.65
TLOFX,Transamerica Large Value Opps R4,9/11/2000,No,US Equity Large Cap Value,113.00,1259574195.00,20783.56,1.70,6.62,14.62,0.70,33.53,6.29,3.25,8.76,13.66,10.21,11.79,1.72,0.55,5.76,2.59,8.39,-4.77,1.59,11.60,6.11
TLVAX,Timothy Plan Large/Mid Cap Value A,7/14/1999,No,US Equity Mid Cap,45.00,91373160.00,14290.26,2.07,9.02,18.36,1.02,30.57,7.27,4.41,12.42,22.44,10.87,14.13,2.16,0.76,5.08,2.18,9.14,4.07,4.47,12.78,17.21
TLVIX,Thrivent Large Cap Value S,10/29/1999,No,US Equity Large Cap Value,107.00,490891084.00,31807.12,1.76,7.28,16.69,1.06,39.39,1.23,1.22,5.33,13.44,7.19,13.04,1.61,0.88,5.26,2.74,8.52,-1.82,-4.70,7.59,8.59
TMCIX,RBC SMID Cap Growth I,6/1/1994,No,US Equity Mid Cap,78.00,62491523.00,2717.81,2.69,11.21,20.94,1.44,20.77,8.67,8.03,15.26,13.77,12.06,18.23,2.59,1.18,8.79,0.81,13.83,11.46,14.07,17.99,22.80
TMCPX,Touchstone Mid Cap Y,1/2/2003,No,US Equity Mid Cap,69.00,156418522.00,4177.71,1.93,7.15,18.49,1.05,39.69,3.41,0.69,1.82,12.04,5.31,16.48,1.50,0.82,6.87,2.89,12.04,3.92,-2.78,5.56,-4.22
TMDIX,AMG TimesSquare Mid Cap Growth Z,3/4/2005,No,US Equity Mid Cap,70.00,1248385329.00,7111.37,2.96,11.05,19.81,1.74,35.63,7.52,6.31,14.83,15.96,10.28,16.86,3.01,1.45,8.88,1.18,13.73,7.10,2.96,11.94,10.72
TMEIX,Touchstone Emerging Markets Sm Cp Inst,9/30/2009,No,Emerging Markets Equity,70.00,8278989.00,9433.99,2.77,12.50,14.86,1.98,28.58,17.51,10.01,20.36,,20.58,15.05,1.89,1.56,7.77,2.88,11.69,25.33,3.50,23.05,217.94
TMGFX,Turner Midcap Growth Investor,10/1/1996,No,US Equity Mid Cap,,,,,,,,,,,,,,,,,,,,,,,
TMLCX,SEI Tax-Managed Large Cap F (SIMT),3/5/1998,No,US Equity Large Cap Blend,,,,,,,,,,,,,,,,,,,,,,,
TMMAX,SEI Tax-Managed Mgd Volatility F (SIMT),12/20/2007,No,US Equity Large Cap Value,177.00,184883000.00,6864.96,2.07,8.03,15.99,1.06,34.92,11.34,7.72,19.82,15.98,14.38,15.44,2.24,0.92,9.45,2.93,9.72,5.69,4.98,-36.28,6.10
TNSYX,Touchstone International Small Cap Y,12/31/1996,No,Global Equity Mid/Small Cap,242.00,107981164.00,1358.37,2.57,10.22,20.69,1.27,27.63,6.70,5.18,10.49,17.11,8.28,19.25,2.43,1.08,5.65,0.72,15.64,6.38,7.42,7.14,20.65
TOCQX,Tocqueville,1/13/1987,No,US Equity Large Cap Blend,67.00,415101727.00,28338.84,2.28,9.24,21.37,1.42,34.51,6.26,4.89,13.09,16.23,12.33,15.65,2.20,1.07,5.70,3.10,9.62,4.29,0.56,6.91,6.81
TOLIX,Deutsche Global Infrastructure Instl,6/24/2008,No,Other Sector Equity,32.00,95718675.00,8029.34,2.17,7.10,14.64,1.75,61.78,12.24,3.25,12.95,28.47,7.74,16.41,2.05,1.45,8.32,4.44,7.26,7.84,-11.19,8.94,-2.88
TOPPX,Tocqueville Opportunity,8/1/1994,No,US Equity Mid Cap,45.00,30214916.00,1046.01,1.85,9.65,24.41,1.37,19.45,1.46,2.16,3.43,15.95,2.97,19.67,1.63,1.18,6.67,0.86,17.03,-13.05,6.75,-1.47,-8.94
TORLX,Toreador Core Retail,6/2/2006,No,US Equity Large Cap Blend,67.00,30618370.00,28889.14,2.18,9.18,17.16,1.17,29.66,7.91,5.13,13.97,14.93,12.71,13.97,2.17,0.93,4.29,2.09,10.49,3.42,5.45,14.37,13.79
TORYX,Torray,12/18/1990,No,US Equity Large Cap Value,29.00,363321029.00,32100.03,2.01,9.01,17.58,1.29,33.76,6.53,5.24,17.14,11.86,12.35,13.61,2.26,1.18,8.55,2.15,9.72,-0.60,-7.85,5.52,0.28
TPIAX,Timothy Plan International A,5/3/2007,No,Global Equity Large Cap,48.00,36425994.00,25912.34,1.85,6.74,15.94,0.53,32.67,11.83,4.55,13.20,,9.59,13.06,1.47,0.80,4.63,4.17,7.66,-9.80,27.94,12.60,0.72
TPLGX,T. Rowe Price Instl Large Cap Core Gr,9/30/2003,No,US Equity Large Cap Growth,132.00,132607021.00,37588.79,3.22,14.19,26.25,1.97,27.19,11.72,8.03,17.59,17.81,16.64,18.98,3.07,1.59,5.33,1.33,13.71,8.87,8.60,13.34,18.12
TPLNX,Timothy Plan Small Cap Value A,3/24/1994,No,US Equity Small Cap,51.00,48330434.00,1178.93,1.70,8.53,17.36,0.88,27.45,4.16,3.05,8.16,13.54,6.37,16.60,1.59,0.67,6.12,1.37,12.87,7.58,8.49,11.89,5.59
TPYAX,Touchstone Premium Yield Equity A,12/3/2007,No,US Equity Large Cap Value,41.00,28000734.00,19629.41,2.00,6.48,16.61,1.35,39.41,12.83,6.20,16.55,12.88,12.09,13.35,1.99,1.03,5.35,4.08,7.49,7.12,-0.25,6.27,-0.77
TRAMX,T. Rowe Price Africa & Middle East,9/4/2007,No,Other Equity,35.00,198301340.00,4316.14,1.54,,9.79,2.15,33.19,24.86,5.46,16.92,,,7.72,1.10,1.86,7.80,6.18,10.41,3.90,1.30,14.09,13.33
TRBCX,T. Rowe Price Blue Chip Growth,6/30/1993,No,US Equity Large Cap Growth,132.00,10289388429.00,37777.78,3.22,14.17,26.25,1.98,27.15,11.76,8.05,17.59,17.83,16.61,19.00,3.07,1.59,5.35,1.33,13.70,8.85,8.66,13.34,18.22
TRDFX,Steward Small-Mid Cap Enhanced Idx Indv,1/31/1952,No,US Equity Small Cap,,,,,,,,,,,,,,,,,,,,,,,
TREMX,T. Rowe Price Emerging Europe,8/31/2000,No,Other Equity,42.00,701558892.00,8747.11,2.44,4.88,4.71,1.09,,13.63,6.18,15.27,,18.26,12.27,2.13,1.16,2.70,1.53,10.73,-9.95,-10.86,12.79,30.09
TRGRX,T. Rowe Price Global Real Estate,10/27/2008,No,Real Estate Sector Equity,61.00,17564364.00,6442.31,1.37,,20.39,4.29,47.26,18.21,-0.68,0.29,,,22.35,1.27,3.67,8.98,6.08,9.21,-12.07,-4.44,3.40,-18.62
TRGSX,T. Rowe Price Instl Glbl Focused Gr Eq,6/30/2006,No,Global Equity,63.00,189118783.00,40244.01,2.57,9.02,21.10,1.65,31.63,11.42,6.47,14.92,23.37,17.57,16.09,2.24,1.35,5.83,3.50,10.74,-17.82,-4.52,6.90,21.25
TRIAX,T. Rowe Price Inst Africa & Middle East,4/30/2008,No,Other Equity,36.00,74246606.00,5351.98,1.65,,9.95,2.10,35.05,23.41,5.57,17.33,,,7.89,1.15,1.77,7.23,6.70,10.49,7.16,3.53,18.28,12.18
TRIGX,T. Rowe Price International Value Eq,12/21/1998,No,Global Equity Large Cap,148.00,2988051515.00,24738.19,1.37,4.82,13.03,0.71,36.14,6.83,3.41,10.05,,10.61,12.44,1.01,0.51,3.14,5.06,6.05,3.53,1.50,4.52,3.87
TRISX,T. Rowe Price Instl US Structured Rsrch,10/31/2007,No,US Equity Large Cap Blend,300.00,319372809.00,45085.26,2.33,9.40,18.71,1.34,34.80,8.51,5.87,15.17,15.59,14.20,14.91,2.18,1.03,6.54,2.49,9.05,-0.28,-0.42,9.35,9.85
TRLCX,TIAA-CREF Large-Cap Value Retire,10/1/2002,No,US Equity Large Cap Value,207.00,1195694238.00,22873.52,1.48,6.79,15.25,0.92,41.53,2.77,1.09,4.07,15.52,4.68,13.89,1.33,0.75,3.66,3.11,8.74,-12.49,-5.97,0.85,4.36
TRLGX,T. Rowe Price Instl Large Cap Growth,10/31/2001,No,US Equity Large Cap Growth,63.00,1664025967.00,37092.36,3.40,14.26,26.69,1.84,27.55,9.37,7.06,15.31,18.77,14.69,20.18,3.22,1.54,5.08,1.20,13.49,12.47,7.65,13.55,13.87
TRMCX,T. Rowe Price Mid-Cap Value,6/28/1996,No,US Equity Mid Cap,133.00,7139165138.00,5405.98,1.67,6.04,15.74,0.77,38.94,0.83,0.52,2.07,14.71,5.33,15.91,1.55,0.45,3.89,2.93,5.60,9.85,-4.75,8.85,2.77
TRMVX,SEI Large Cap Value F (SIMT),4/20/1987,No,US Equity Large Cap Value,,,,,,,,,,,,,,,,,,,,,,,
TROSX,T. Rowe Price Overseas Stock,12/29/2006,No,Global Equity Large Cap,168.00,2075606886.00,24696.47,1.64,5.82,14.30,0.86,33.40,9.05,4.97,13.23,,11.25,13.34,1.15,0.59,3.53,4.23,7.68,-7.33,-0.05,-10.88,2.10
TRPWX,TIAA-CREF Mid-Cap Growth Instl,10/1/2002,No,US Equity Mid Cap,144.00,793440254.00,4571.31,2.99,10.51,21.86,1.50,33.79,6.75,4.46,14.85,20.47,8.67,18.64,2.22,0.90,5.59,1.04,8.71,18.92,12.72,15.35,17.60
TRQIX,SEI S&P 500 Index E (SIMT),7/31/1985,Yes,US Equity Large Cap Blend,,,,,,,,,,,,,,,,,,,,,,,
TRREX,T. Rowe Price Real Estate,10/31/1997,No,Real Estate Sector Equity,39.00,2274456214.00,4399.60,1.77,,31.40,3.54,56.69,8.17,1.06,4.21,,,41.78,1.66,2.95,8.53,6.37,6.46,-13.50,0.89,4.71,18.81
TRSIX,Transamerica Global Real Estate Secs I2,11/15/2005,No,Real Estate Sector Equity,106.00,310422586.00,7076.69,1.31,,18.68,2.94,50.57,23.46,-1.34,-2.91,,,21.40,1.07,2.43,7.33,7.24,8.37,-12.86,-1.23,-2.69,
TRSSX,T. Rowe Price Instl Small-Cap Stock,3/31/2000,No,US Equity Small Cap,287.00,321718865.00,1188.98,1.79,7.32,21.88,0.98,33.85,3.07,-0.75,3.89,13.99,1.71,19.23,1.64,0.76,5.43,1.80,13.33,-5.41,-1.39,1.44,-7.54
TRULX,T. Rowe Price US Large-Cap Core,6/26/2009,No,US Equity Large Cap Blend,58.00,16501360.00,52720.90,2.46,10.65,20.03,1.35,32.62,8.96,7.34,17.71,15.76,15.36,15.82,2.16,1.07,7.04,2.25,10.72,7.19,4.40,11.61,14.46
TRVLX,T. Rowe Price Value,9/30/1994,No,US Equity Large Cap Value,114.00,8886422835.00,25275.19,1.60,7.20,18.58,0.96,41.46,2.49,3.16,9.38,12.82,9.53,13.76,1.64,0.55,4.84,2.94,7.04,-6.19,-0.24,8.23,3.97
TSCEX,Turner Small Cap Growth,2/7/1994,No,US Equity Small Cap,,,,,,,,,,,,,,,,,,,,,,,
TSCIX,AMG TimesSquare Small Cap Growth Z,1/21/2000,No,US Equity Small Cap,109.00,552508101.00,1187.12,2.46,10.06,20.72,1.36,30.31,7.00,4.09,11.68,17.21,5.74,19.57,2.32,1.12,7.37,0.67,16.41,12.76,5.23,2.85,16.02
TSELX,Tocqueville Select,7/31/1998,No,US Equity Small Cap,27.00,26546789.00,1512.17,1.47,6.88,,0.64,34.42,-3.65,-2.71,-3.63,9.54,2.81,16.76,1.59,0.50,6.27,1.48,13.23,0.22,-8.73,6.41,1.50
TSFIX,Touchstone Small Cap Institutional,9/30/2009,No,US Equity Small Cap,37.00,12349372.00,1530.35,1.78,7.36,14.61,0.85,32.40,8.83,5.90,15.28,13.03,10.53,14.64,1.87,0.66,6.77,1.88,13.47,11.66,1.65,7.39,16.97
TSGUX,Consulting Group Small-Mid Cap Equity,11/18/1991,No,US Equity Small Cap,,,,,,,,,,,,,,,,,,,,,,,
TSLFX,Transamerica Small Cap Value R4,1/23/2003,No,US Equity Small Cap,47.00,146214989.00,1152.84,1.64,6.94,17.16,0.88,28.17,5.16,3.74,7.98,10.86,7.89,15.42,1.59,0.65,4.47,1.98,11.88,0.58,5.63,13.41,12.75
TSOYX,Touchstone Small Cap Value Opp Y,7/25/2003,No,US Equity Small Cap,99.00,110079347.00,1000.20,1.72,5.65,14.71,0.87,31.51,6.70,3.06,7.25,50.53,5.75,14.14,1.62,0.66,3.88,2.99,12.63,7.97,-0.37,8.25,13.03
TSTFX,Transamerica Stock Index R4,9/11/2000,Yes,US Equity Large Cap Blend,,,,,,,,,,,,,,,,,,,,,,,
TSWEX,TS&W Equity Institutional,7/17/1992,No,US Equity Large Cap Value,,,,,,,,,,,,,,,,,,,,,,,
TSWIX,Transamerica International Equity I,12/18/1992,No,Global Equity Large Cap,,,,,,,,,,,,,,,,,,,,,,,
TVAFX,Thornburg Value A,10/2/1995,No,US Equity Large Cap Blend,46.00,3923839771.00,19646.82,1.45,6.92,17.18,0.87,38.25,5.01,3.71,5.97,18.19,11.05,12.90,1.45,0.73,5.13,2.78,9.32,-9.38,-2.11,6.99,17.27
TVLYX,Touchstone Value Y,9/10/1998,No,US Equity Large Cap Value,49.00,147845651.00,39226.08,1.83,7.98,17.83,0.99,43.26,6.42,4.65,14.28,12.46,13.77,13.20,1.62,0.78,6.34,3.78,9.21,-13.86,-6.47,4.56,2.37
TVOAX,Touchstone Small Cap Value A,3/4/2002,No,US Equity Small Cap,87.00,78255030.00,998.25,1.38,7.18,16.86,1.05,36.84,-5.38,-4.93,-4.25,14.99,-1.88,15.73,1.12,0.52,3.31,2.77,12.94,-10.99,-9.78,-5.28,13.66
TWAOX,Thomas White American Opportunities Inv,3/4/1999,No,US Equity Mid Cap,88.00,19264841.00,4865.42,1.69,6.65,16.87,0.95,37.38,7.16,3.78,8.64,25.97,9.05,14.26,1.69,0.75,6.36,2.83,9.49,-0.19,1.09,9.02,-1.04
TWCGX,American Century Growth Inv,6/30/1971,No,US Equity Large Cap Growth,89.00,4781148154.00,40202.10,3.49,11.63,21.86,1.47,31.58,11.90,8.13,19.41,15.21,15.26,17.54,3.55,1.20,7.27,1.94,11.69,4.95,5.24,11.84,11.63
TWCIX,American Century Select Inv,6/30/1971,No,US Equity Large Cap Growth,62.00,1732108175.00,40870.40,3.43,12.67,20.46,1.79,28.17,14.56,10.75,23.70,15.87,18.95,17.30,3.28,1.50,10.62,1.74,11.73,7.37,9.46,14.24,15.71
TWCUX,American Century Ultra® Inv,11/2/1981,No,US Equity Large Cap Growth,77.00,6009610916.00,44627.56,3.50,13.33,22.56,1.84,26.90,13.58,10.10,22.08,16.44,18.02,18.37,3.08,1.35,6.93,1.66,11.94,6.03,9.09,14.25,18.60
TWEBX,"Tweedy, Browne Value",12/8/1993,No,Global Equity,,,,,,,,,,,,,,,,,,,,,,,
